9.499999999999999556e-01 5.000000000000000278e-02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
9.478410435312429883e-01 4.287075186460673898e-02 8.532882584963492889e-03 1.418356971504175675e-04 2.026096189165582246e-06 6.114338150613625716e-04 2.641078571462340865e-08
9.421892936798063056e-01 4.019171897769185930e-02 1.487856406221828298e-02 4.856846708301428527e-04 1.392814143495623143e-05 2.240436509363183306e-03 3.739586550035578424e-07
9.338804710835563183e-01 4.039922856067726387e-02 2.004084768524273114e-02 9.501568333960900550e-04 4.077424551416852457e-05 4.686835070802679130e-03 1.686520810389008527e-06
9.233778724755676848e-01 4.255017528838458962e-02 2.464171720571315186e-02 1.490786880498901675e-03 8.460114637674220092e-05 7.850067743068197754e-03 4.779260390285083147e-06
9.109159295634002840e-01 4.607946090227752617e-02 2.907081215361083729e-02 2.085131965614402290e-03 1.459179363677641885e-04 1.169222058927749282e-02 1.052688945118614726e-05
8.965917893885846368e-01 5.064856486505692895e-02 3.357599834355228657e-02 2.723772714918804017e-03 2.245666752418003177e-04 1.621549768783693904e-02 1.981032480804342916e-05
8.804238692859451820e-01 5.605146617112835572e-02 3.831771731933730774e-02 3.404870813121664997e-03 3.202008757382779325e-04 2.144837923769975230e-02 3.349629702897488116e-05
8.623900794419900873e-01 6.215604381547934487e-02 4.340108619607103979e-02 4.130861975405414853e-03 4.325371912734538179e-04 2.743695646183214737e-02 5.243491794795306879e-05
8.424538955380910243e-01 6.886707577830622484e-02 4.889441167606688871e-02 4.906411991712584728e-03 5.614737576077376627e-04 3.423926499664917134e-02 7.746626156586305120e-05
8.205831764168270981e-01 7.610254390802531632e-02 5.483929690440522003e-02 5.737118768019204909e-03 7.071291379783517517e-04 4.192130408620626386e-02 1.094307785380926781e-04
7.967646736124619489e-01 8.377812978296395041e-02 6.125564026101244092e-02 6.628637155293200765e-03 8.698345183803086154e-04 5.055390428857434865e-02 1.491803813135117224e-04
7.710157237646794171e-01 9.179708321498240842e-02 6.814352306529768144e-02 7.586039981822666721e-03 1.050097209347345068e-03 6.020994440852930202e-02 1.975883553407516483e-04
7.433937300287389860e-01 1.000439463359760334e-01 7.548330128567626307e-02 8.613305470746545831e-03 1.248545797210356967e-03 7.096161415727011978e-02 2.555569243813100399e-04
7.140034700461721506e-01 1.083813894641160042e-01 8.323482705264985404e-02 9.712870847775577354e-03 1.465862940817338816e-03 8.287755791226290858e-02 3.240217362057238996e-04
6.830018540703816088e-01 1.166499519383726591e-01 9.133647015755919085e-02 1.088522734660746921e-02 1.702709131786604799e-03 9.601983465892723058e-02 4.039526963646664624e-04
6.505996318502399456e-01 1.246705900533767175e-01 9.970452632073073529e-02 1.212855195792682424e-02 1.959640162519381973e-03 1.104407088850590246e-01 4.963507701468235960e-04
6.170595668652629762e-01 1.322499748118126373e-01 1.082334403946000057e-01 1.343839055265311395e-02 2.237020656031125411e-03 1.261793661700535418e-01 6.022405495860979653e-04
5.826907197205096756e-01 1.391883405871795765e-01 1.167972376783326938e-01 1.480741517585957082e-02 2.534936647033329913e-03 1.432586918164188150e-01 7.226583746659272353e-04
5.478388669621296891e-01 1.452893824908003395e-01 1.252524097384910551e-01 1.622528604242435071e-02 2.853110867371170395e-03 1.616823078320107909e-01 8.586360667721455080e-04
5.128736406549262439e-01 1.503713256441117918e-01 1.334423031892174039e-01 1.767864518040939553e-02 3.190825192796359604e-03 1.814320794979387141e-01 1.011180640599702819e-03
4.781731085629514211e-01 1.542782590631515127e-01 1.412029328398248518e-01 1.915127163552128239e-02 3.546855255163849918e-03 2.024663223392568767e-01 1.181250304129815524e-03
4.441072468871167800e-01 1.568903672343296418e-01 1.483699428318065727e-01 2.062440717795884296e-02 3.919422442038528707e-03 2.247188858417284163e-01 1.369727585020844539e-03
4.110217468483989833e-01 1.581319790112798995e-01 1.547861789082474460e-01 2.207725828079797406e-02 4.306168107222494747e-03 2.480992782518948725e-01 1.577390592157970140e-03
3.792237022501196986e-01 1.579764085616173486e-01 1.603093121373291019e-01 2.348765308345302644e-02 4.704154229903232190e-03 2.724938861226376963e-01 1.804883614939496424e-03
3.489704173123974740e-01 1.564470800169280029e-01 1.648188202328425833e-01 2.483282307594491048e-02 5.109892704173891499e-03 2.977682781672973955e-01 2.052688490415380609e-03
3.204621731864886192e-01 1.536148361760775460e-01 1.682217517108856863e-01 2.609025937022431754e-02 5.519404109299958297e-03 3.237704772852028623e-01 2.321098161820615673e-03
2.938392890595101781e-01 1.495918701058647771e-01 1.704567465620744904e-01 2.723858623473789792e-02 5.928304145109444118e-03 3.503350099395618478e-01 2.610193953141013400e-03
2.691832191949473096e-01 1.445231072451937382e-01 1.714960607790733671e-01 2.825839153068759879e-02 6.331913962277008721e-03 3.772874794730890491e-01 2.919827814731565038e-03
2.465210624403277873e-01 1.385760892170922742e-01 1.713455132684646720e-01 2.913295722287175676e-02 6.725388652812513794e-03 4.044493785726230861e-01 3.249610625807558550e-03
2.258325532265494651e-01 1.319304777974966980e-01 1.700425039171563624e-01 2.984884416500061324e-02 7.103856725974288036e-03 4.316428568610528593e-01 3.598907306769341414e-03
2.070585348003195769e-01 1.247681498471346212e-01 1.676524305996355546e-01 3.039629876210850692e-02 7.462562911218261277e-03 4.586951840019795057e-01 3.966839077603635105e-03
