,run_id,Time,State,Fraction
0,0,0.0,S,0.93
1,0,0.0,E,0.07
2,0,0.0,I1,0.0
3,0,0.0,I2,0.0
4,0,0.0,I3,0.0
5,0,0.0,R,0.0
6,0,0.0,D,0.0
7,0,0.0,I_total,0.0
8,0,1.0101010101010102,S,0.93
9,0,1.0101010101010102,E,0.05
10,0,1.0101010101010102,I1,0.02
11,0,1.0101010101010102,I2,0.0
12,0,1.0101010101010102,I3,0.0
13,0,1.0101010101010102,R,0.0
14,0,1.0101010101010102,D,0.0
15,0,1.0101010101010102,I_total,0.02
16,0,2.0202020202020203,S,0.91
17,0,2.0202020202020203,E,0.06
18,0,2.0202020202020203,I1,0.03
19,0,2.0202020202020203,I2,0.0
20,0,2.0202020202020203,I3,0.0
21,0,2.0202020202020203,R,0.0
22,0,2.0202020202020203,D,0.0
23,0,2.0202020202020203,I_total,0.03
24,0,3.0303030303030303,S,0.91
25,0,3.0303030303030303,E,0.04
26,0,3.0303030303030303,I1,0.04
27,0,3.0303030303030303,I2,0.0
28,0,3.0303030303030303,I3,0.0
29,0,3.0303030303030303,R,0.01
30,0,3.0303030303030303,D,0.0
31,0,3.0303030303030303,I_total,0.04
32,0,4.040404040404041,S,0.89
33,0,4.040404040404041,E,0.05
34,0,4.040404040404041,I1,0.03
35,0,4.040404040404041,I2,0.0
36,0,4.040404040404041,I3,0.0
37,0,4.040404040404041,R,0.03
38,0,4.040404040404041,D,0.0
39,0,4.040404040404041,I_total,0.03
40,0,5.050505050505051,S,0.87
41,0,5.050505050505051,E,0.05
42,0,5.050505050505051,I1,0.04
43,0,5.050505050505051,I2,0.0
44,0,5.050505050505051,I3,0.0
45,0,5.050505050505051,R,0.04
46,0,5.050505050505051,D,0.0
47,0,5.050505050505051,I_total,0.04
48,0,6.0606060606060606,S,0.87
49,0,6.0606060606060606,E,0.04
50,0,6.0606060606060606,I1,0.05
51,0,6.0606060606060606,I2,0.0
52,0,6.0606060606060606,I3,0.0
53,0,6.0606060606060606,R,0.04
54,0,6.0606060606060606,D,0.0
55,0,6.0606060606060606,I_total,0.05
56,0,7.070707070707071,S,0.84
57,0,7.070707070707071,E,0.07
58,0,7.070707070707071,I1,0.04
59,0,7.070707070707071,I2,0.0
60,0,7.070707070707071,I3,0.0
61,0,7.070707070707071,R,0.05
62,0,7.070707070707071,D,0.0
63,0,7.070707070707071,I_total,0.04
64,0,8.080808080808081,S,0.84
65,0,8.080808080808081,E,0.06
66,0,8.080808080808081,I1,0.03
67,0,8.080808080808081,I2,0.0
68,0,8.080808080808081,I3,0.0
69,0,8.080808080808081,R,0.07
70,0,8.080808080808081,D,0.0
71,0,8.080808080808081,I_total,0.03
72,0,9.090909090909092,S,0.84
73,0,9.090909090909092,E,0.05
74,0,9.090909090909092,I1,0.04
75,0,9.090909090909092,I2,0.0
76,0,9.090909090909092,I3,0.0
77,0,9.090909090909092,R,0.07
78,0,9.090909090909092,D,0.0
79,0,9.090909090909092,I_total,0.04
80,0,10.101010101010102,S,0.83
81,0,10.101010101010102,E,0.05
82,0,10.101010101010102,I1,0.04
83,0,10.101010101010102,I2,0.01
84,0,10.101010101010102,I3,0.0
85,0,10.101010101010102,R,0.07
86,0,10.101010101010102,D,0.0
87,0,10.101010101010102,I_total,0.05
88,0,11.111111111111112,S,0.81
89,0,11.111111111111112,E,0.06
90,0,11.111111111111112,I1,0.05
91,0,11.111111111111112,I2,0.01
92,0,11.111111111111112,I3,0.0
93,0,11.111111111111112,R,0.07
94,0,11.111111111111112,D,0.0
95,0,11.111111111111112,I_total,0.06
96,0,12.121212121212121,S,0.79
97,0,12.121212121212121,E,0.06
98,0,12.121212121212121,I1,0.07
99,0,12.121212121212121,I2,0.01
100,0,12.121212121212121,I3,0.0
101,0,12.121212121212121,R,0.07
102,0,12.121212121212121,D,0.0
103,0,12.121212121212121,I_total,0.08
104,0,13.131313131313131,S,0.77
105,0,13.131313131313131,E,0.07
106,0,13.131313131313131,I1,0.08
107,0,13.131313131313131,I2,0.01
108,0,13.131313131313131,I3,0.0
109,0,13.131313131313131,R,0.07
110,0,13.131313131313131,D,0.0
111,0,13.131313131313131,I_total,0.09
112,0,14.141414141414142,S,0.73
113,0,14.141414141414142,E,0.09
114,0,14.141414141414142,I1,0.1
115,0,14.141414141414142,I2,0.01
116,0,14.141414141414142,I3,0.0
117,0,14.141414141414142,R,0.07
118,0,14.141414141414142,D,0.0
119,0,14.141414141414142,I_total,0.11
120,0,15.151515151515152,S,0.7
121,0,15.151515151515152,E,0.12
122,0,15.151515151515152,I1,0.08
123,0,15.151515151515152,I2,0.01
124,0,15.151515151515152,I3,0.0
125,0,15.151515151515152,R,0.09
126,0,15.151515151515152,D,0.0
127,0,15.151515151515152,I_total,0.09
128,0,16.161616161616163,S,0.67
129,0,16.161616161616163,E,0.14
130,0,16.161616161616163,I1,0.07
131,0,16.161616161616163,I2,0.01
132,0,16.161616161616163,I3,0.0
133,0,16.161616161616163,R,0.11
134,0,16.161616161616163,D,0.0
135,0,16.161616161616163,I_total,0.08
136,0,17.171717171717173,S,0.66
137,0,17.171717171717173,E,0.13
138,0,17.171717171717173,I1,0.08
139,0,17.171717171717173,I2,0.01
140,0,17.171717171717173,I3,0.0
141,0,17.171717171717173,R,0.12
142,0,17.171717171717173,D,0.0
143,0,17.171717171717173,I_total,0.09
144,0,18.181818181818183,S,0.62
145,0,18.181818181818183,E,0.17
146,0,18.181818181818183,I1,0.07
147,0,18.181818181818183,I2,0.01
148,0,18.181818181818183,I3,0.0
149,0,18.181818181818183,R,0.13
150,0,18.181818181818183,D,0.0
151,0,18.181818181818183,I_total,0.08
152,0,19.191919191919194,S,0.6
153,0,19.191919191919194,E,0.17
154,0,19.191919191919194,I1,0.08
155,0,19.191919191919194,I2,0.01
156,0,19.191919191919194,I3,0.0
157,0,19.191919191919194,R,0.14
158,0,19.191919191919194,D,0.0
159,0,19.191919191919194,I_total,0.09
160,0,20.202020202020204,S,0.59
161,0,20.202020202020204,E,0.18
162,0,20.202020202020204,I1,0.08
163,0,20.202020202020204,I2,0.01
164,0,20.202020202020204,I3,0.0
165,0,20.202020202020204,R,0.14
166,0,20.202020202020204,D,0.0
167,0,20.202020202020204,I_total,0.09
168,0,21.212121212121215,S,0.55
169,0,21.212121212121215,E,0.19
170,0,21.212121212121215,I1,0.09
171,0,21.212121212121215,I2,0.0
172,0,21.212121212121215,I3,0.0
173,0,21.212121212121215,R,0.17
174,0,21.212121212121215,D,0.0
175,0,21.212121212121215,I_total,0.09
176,0,22.222222222222225,S,0.53
177,0,22.222222222222225,E,0.19
178,0,22.222222222222225,I1,0.11
