,run_id,Time,State,Fraction
0,0,0.0,S,0.94
1,0,0.0,E,0.06
2,0,0.0,I1,0.0
3,0,0.0,I2,0.0
4,0,0.0,I3,0.0
5,0,0.0,R,0.0
6,0,0.0,D,0.0
7,0,0.0,I_total,0.0
8,0,1.0050251256281406,S,0.94
9,0,1.0050251256281406,E,0.05
10,0,1.0050251256281406,I1,0.01
11,0,1.0050251256281406,I2,0.0
12,0,1.0050251256281406,I3,0.0
13,0,1.0050251256281406,R,0.0
14,0,1.0050251256281406,D,0.0
15,0,1.0050251256281406,I_total,0.01
16,0,2.0100502512562812,S,0.89
17,0,2.0100502512562812,E,0.07
18,0,2.0100502512562812,I1,0.04
19,0,2.0100502512562812,I2,0.0
20,0,2.0100502512562812,I3,0.0
21,0,2.0100502512562812,R,0.0
22,0,2.0100502512562812,D,0.0
23,0,2.0100502512562812,I_total,0.04
24,0,3.015075376884422,S,0.8
25,0,3.015075376884422,E,0.15
26,0,3.015075376884422,I1,0.05
27,0,3.015075376884422,I2,0.0
28,0,3.015075376884422,I3,0.0
29,0,3.015075376884422,R,0.0
30,0,3.015075376884422,D,0.0
31,0,3.015075376884422,I_total,0.05
32,0,4.0201005025125625,S,0.75
33,0,4.0201005025125625,E,0.17
34,0,4.0201005025125625,I1,0.06
35,0,4.0201005025125625,I2,0.0
36,0,4.0201005025125625,I3,0.0
37,0,4.0201005025125625,R,0.02
38,0,4.0201005025125625,D,0.0
39,0,4.0201005025125625,I_total,0.06
40,0,5.025125628140703,S,0.7
41,0,5.025125628140703,E,0.19
42,0,5.025125628140703,I1,0.08
43,0,5.025125628140703,I2,0.0
44,0,5.025125628140703,I3,0.0
45,0,5.025125628140703,R,0.03
46,0,5.025125628140703,D,0.0
47,0,5.025125628140703,I_total,0.08
48,0,6.030150753768844,S,0.64
49,0,6.030150753768844,E,0.21
50,0,6.030150753768844,I1,0.12
51,0,6.030150753768844,I2,0.0
52,0,6.030150753768844,I3,0.0
53,0,6.030150753768844,R,0.03
54,0,6.030150753768844,D,0.0
55,0,6.030150753768844,I_total,0.12
56,0,7.035175879396984,S,0.58
57,0,7.035175879396984,E,0.22
58,0,7.035175879396984,I1,0.15
59,0,7.035175879396984,I2,0.0
60,0,7.035175879396984,I3,0.0
61,0,7.035175879396984,R,0.05
62,0,7.035175879396984,D,0.0
63,0,7.035175879396984,I_total,0.15
64,0,8.040201005025125,S,0.57
65,0,8.040201005025125,E,0.2
66,0,8.040201005025125,I1,0.14
67,0,8.040201005025125,I2,0.02
68,0,8.040201005025125,I3,0.0
69,0,8.040201005025125,R,0.07
70,0,8.040201005025125,D,0.0
71,0,8.040201005025125,I_total,0.16
72,0,9.045226130653266,S,0.52
73,0,9.045226130653266,E,0.22
74,0,9.045226130653266,I1,0.15
75,0,9.045226130653266,I2,0.01
76,0,9.045226130653266,I3,0.0
77,0,9.045226130653266,R,0.1
78,0,9.045226130653266,D,0.0
79,0,9.045226130653266,I_total,0.16
