,run_id,Time,State,Fraction
0,0,0.0,S,0.91
1,0,0.0,E,0.09
2,0,0.0,I1,0.0
3,0,0.0,I2,0.0
4,0,0.0,I3,0.0
5,0,0.0,R,0.0
6,0,0.0,D,0.0
7,0,0.0,I_total,0.0
8,0,0.5050505050505051,S,0.91
9,0,0.5050505050505051,E,0.08
10,0,0.5050505050505051,I1,0.01
11,0,0.5050505050505051,I2,0.0
12,0,0.5050505050505051,I3,0.0
13,0,0.5050505050505051,R,0.0
14,0,0.5050505050505051,D,0.0
15,0,0.5050505050505051,I_total,0.01
16,0,1.0101010101010102,S,0.91
17,0,1.0101010101010102,E,0.07
18,0,1.0101010101010102,I1,0.02
19,0,1.0101010101010102,I2,0.0
20,0,1.0101010101010102,I3,0.0
21,0,1.0101010101010102,R,0.0
22,0,1.0101010101010102,D,0.0
23,0,1.0101010101010102,I_total,0.02
24,0,1.5151515151515151,S,0.91
25,0,1.5151515151515151,E,0.07
26,0,1.5151515151515151,I1,0.02
27,0,1.5151515151515151,I2,0.0
28,0,1.5151515151515151,I3,0.0
29,0,1.5151515151515151,R,0.0
30,0,1.5151515151515151,D,0.0
31,0,1.5151515151515151,I_total,0.02
32,0,2.0202020202020203,S,0.89
33,0,2.0202020202020203,E,0.07
34,0,2.0202020202020203,I1,0.03
35,0,2.0202020202020203,I2,0.0
36,0,2.0202020202020203,I3,0.0
37,0,2.0202020202020203,R,0.01
38,0,2.0202020202020203,D,0.0
39,0,2.0202020202020203,I_total,0.03
40,0,2.5252525252525255,S,0.82
41,0,2.5252525252525255,E,0.12
42,0,2.5252525252525255,I1,0.04
43,0,2.5252525252525255,I2,0.01
44,0,2.5252525252525255,I3,0.0
45,0,2.5252525252525255,R,0.01
46,0,2.5252525252525255,D,0.0
47,0,2.5252525252525255,I_total,0.04
48,0,3.0303030303030303,S,0.8
49,0,3.0303030303030303,E,0.12
50,0,3.0303030303030303,I1,0.06
51,0,3.0303030303030303,I2,0.01
52,0,3.0303030303030303,I3,0.0
53,0,3.0303030303030303,R,0.01
54,0,3.0303030303030303,D,0.0
55,0,3.0303030303030303,I_total,0.06
56,0,3.5353535353535355,S,0.77
57,0,3.5353535353535355,E,0.12
58,0,3.5353535353535355,I1,0.08
59,0,3.5353535353535355,I2,0.01
60,0,3.5353535353535355,I3,0.01
61,0,3.5353535353535355,R,0.01
62,0,3.5353535353535355,D,0.0
63,0,3.5353535353535355,I_total,0.08
64,0,4.040404040404041,S,0.76
65,0,4.040404040404041,E,0.1
66,0,4.040404040404041,I1,0.11
67,0,4.040404040404041,I2,0.01
68,0,4.040404040404041,I3,0.01
69,0,4.040404040404041,R,0.01
70,0,4.040404040404041,D,0.0
71,0,4.040404040404041,I_total,0.11
72,0,4.545454545454546,S,0.73
73,0,4.545454545454546,E,0.1
74,0,4.545454545454546,I1,0.11
75,0,4.545454545454546,I2,0.03
76,0,4.545454545454546,I3,0.01
77,0,4.545454545454546,R,0.02
78,0,4.545454545454546,D,0.0
79,0,4.545454545454546,I_total,0.11
80,0,5.050505050505051,S,0.69
81,0,5.050505050505051,E,0.12
82,0,5.050505050505051,I1,0.11
83,0,5.050505050505051,I2,0.03
84,0,5.050505050505051,I3,0.01
85,0,5.050505050505051,R,0.03
86,0,5.050505050505051,D,0.01
87,0,5.050505050505051,I_total,0.11
88,0,5.555555555555556,S,0.66
89,0,5.555555555555556,E,0.11
90,0,5.555555555555556,I1,0.14
91,0,5.555555555555556,I2,0.02
92,0,5.555555555555556,I3,0.02
93,0,5.555555555555556,R,0.03
94,0,5.555555555555556,D,0.02
95,0,5.555555555555556,I_total,0.14
96,0,6.0606060606060606,S,0.59
97,0,6.0606060606060606,E,0.13
98,0,6.0606060606060606,I1,0.16
99,0,6.0606060606060606,I2,0.03
100,0,6.0606060606060606,I3,0.01
101,0,6.0606060606060606,R,0.05
102,0,6.0606060606060606,D,0.03
103,0,6.0606060606060606,I_total,0.16
104,0,6.565656565656566,S,0.55
105,0,6.565656565656566,E,0.14
106,0,6.565656565656566,I1,0.18
107,0,6.565656565656566,I2,0.04
108,0,6.565656565656566,I3,0.0
109,0,6.565656565656566,R,0.05
110,0,6.565656565656566,D,0.04
111,0,6.565656565656566,I_total,0.18
112,0,7.070707070707071,S,0.51
113,0,7.070707070707071,E,0.13
114,0,7.070707070707071,I1,0.2
115,0,7.070707070707071,I2,0.06
116,0,7.070707070707071,I3,0.0
117,0,7.070707070707071,R,0.06
118,0,7.070707070707071,D,0.04
119,0,7.070707070707071,I_total,0.2
120,0,7.575757575757576,S,0.48
121,0,7.575757575757576,E,0.13
122,0,7.575757575757576,I1,0.21
123,0,7.575757575757576,I2,0.06
124,0,7.575757575757576,I3,0.01
125,0,7.575757575757576,R,0.07
126,0,7.575757575757576,D,0.04
127,0,7.575757575757576,I_total,0.21
